Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,975864,1,1050PFSP27,1050PFSP27,F,0.01,
BSE,975863,1,1140KFP27,1140KFP27,F,0.01,
BSE,975862,1,737IRFC29,737IRFC29,F,0.01,
BSE,975861,1,1097SML29,1097SML29,F,0.01,
BSE,975860,1,830ABHFL34,830ABHFL34,F,0.01,
BSE,975859,1,5SASPL25A,5SASPL25A,F,0.01,
BSE,975858,1,985USGIC34,985USGIC34,F,0.01,
BSE,975857,1,855GPL29,855GPL29,F,0.01,
BSE,975856,1,840GPL28,840GPL28,F,0.01,
BSE,975855,1,1022WE27RR,1022WE27RR,F,0.01,
BSE,975854,1,950DIA34RR,950DIA34RR,F,0.01,
BSE,975853,1,995IKFL26,995IKFL26,F,0.01,
BSE,975852,1,1060AFPL26,1060AFPL26,F,0.01,
BSE,975851,1,ICL230724,ICL230724,F,0.01,
BSE,975850,1,ICLF230724,ICLF230724,F,0.01,
BSE,975849,1,12IFL27A,12IFL27A,F,0.01,
BSE,975848,1,975SCL29,975SCL29,F,0.01,
BSE,975847,1,739IREDA39,739IREDA39,F,0.01,
BSE,975846,1,NWFL22724A,NWFL22724A,F,0.01,
BSE,975845,1,925NFL26,925NFL26,F,0.01,
BSE,975844,1,923HCFSL27,923HCFSL27,F,0.01,
BSE,975843,1,1018RWEP25,1018RWEP25,F,0.01,
BSE,975842,1,738PGCIL34,738PGCIL34,F,0.01,
BSE,975841,1,965AXFPL27,965AXFPL27,F,0.01,
BSE,975840,1,1250POPL26,1250POPL26,F,0.01,
BSE,975839,1,9SBFC27,9SBFC27,F,0.01,
BSE,975838,1,955ICCL26,955ICCL26,F,0.01,
BSE,975837,1,728HUDC29,728HUDC29,F,0.01,
BSE,975836,1,745RECL35,745RECL35,F,0.01,
BSE,975835,1,756RECL27,756RECL27,F,0.01,
BSE,975834,1,1004DCAL26,1004DCAL26,F,0.01,
BSE,975833,1,9CIFCL31,9CIFCL31,F,0.01,
BSE,975832,1,1150LAT26,1150LAT26,F,0.01,
BSE,975831,1,8KMTL27,8KMTL27,F,0.01,
BSE,975830,1,789BHFL34,789BHFL34,F,0.01,
BSE,975829,1,736IOCL29,736IOCL29,F,0.01,
BSE,975828,1,808KMPL27,808KMPL27,F,0.01,
BSE,975827,1,871HDBFPER,871HDBFPER,F,0.01,
BSE,975826,1,739IRFC34,739IRFC34,F,0.01,
BSE,975825,100000,125CHOP25,125CHOP25,F,0.01,
BSE,975824,100000,10CHOP25,10CHOP25,F,0.01,
BSE,975823,1,RRVL11724,RRVL11724,F,0.01,
BSE,975822,1,RRUCL11724,RRUCL11724,F,0.01,
BSE,975821,1,817ABHF27,817ABHF27,F,0.01,
BSE,975820,1,812ABHF29,812ABHF29,F,0.01,
BSE,975819,1,950HLFL39,950HLFL39,F,0.01,
BSE,975818,1,812BFL27A,812BFL27A,F,0.01,
BSE,975817,1,81BFL26A,81BFL26A,F,0.01,
BSE,975816,1,869MML26,869MML26,F,0.01,
BSE,975815,1,736SBI39,736SBI39,F,0.01,
BSE,975814,1,798BHFL26,798BHFL26,F,0.01,
BSE,975813,1,820ABSLI34,820ABSLI34,F,0.01,
BSE,975812,1,95PEL34,95PEL34,F,0.01,
BSE,975811,1,1075SSF26B,1075SSF26B,F,0.01,
BSE,975810,1,860PJL29,860PJL29,F,0.01,
BSE,975809,1,850PJL28,850PJL28,F,0.01,
BSE,975808,1,1180NFPL27,1180NFPL27,F,0.01,
BSE,975807,100000,SJT2024,SJT2024,F,0.01,
BSE,975806,1,12MFIL26,12MFIL26,F,0.01,
BSE,975805,1,930UCL26,930UCL26,F,0.01,
BSE,975804,1,13TCFL27,13TCFL27,F,0.01,
BSE,975803,1,1746CSAI28,1746CSAI28,F,0.01,
BSE,975802,1,1050SCNL27,1050SCNL27,F,0.01,
BSE,975801,1,789BOM34,789BOM34,F,0.01,
BSE,975800,1,743NBFID34,743NBFID34,F,0.01,
BSE,975799,1,1075MML026,1075MML026,F,0.01,
BSE,975798,1,910PM25326,910PM25326,F,0.01,
BSE,975797,1,1148LIFP27,1148LIFP27,F,0.01,
BSE,975796,1,1085SFL26,1085SFL26,F,0.01,
BSE,975795,100000,1150SVI25,1150SVI25,F,0.01,
BSE,975794,1,1182KSPL26,1182KSPL26,F,0.01,
BSE,975793,1,807IHFCL27,807IHFCL27,F,0.01,
BSE,975792,1,984SSFL26,984SSFL26,F,0.01,
BSE,975791,1,915SFL29A,915SFL29A,F,0.01,
BSE,975790,1,11USFBL31,11USFBL31,F,0.01,
BSE,975789,1,799IFL36,799IFL36,F,0.01,
BSE,975788,1,1005MFL30,1005MFL30,F,0.01,
BSE,975787,1,975VJ09T28,975VJ09T28,F,0.01,
BSE,975786,1,925VJRA926,925VJRA926,F,0.01,
BSE,975785,1,950VAJR28,950VAJR28,F,0.01,
BSE,975784,1,825SFIS25,825SFIS25,F,0.01,
BSE,975783,1,81006KIF31,81006KIF31,F,0.01,
BSE,975782,1,81004KIF30,81004KIF30,F,0.01,
BSE,975781,1,1215NGPL29,1215NGPL29,F,0.01,
BSE,975780,1,1170GHPL26,1170GHPL26,F,0.01,
BSE,975779,1,980VFPL28,980VFPL28,F,0.01,
BSE,975778,1,965VFSP26,965VFSP26,F,0.01,
BSE,975777,1,839OPAL27,839OPAL27,F,0.01,
BSE,975776,1,736SBOI39,736SBOI39,F,0.01,
BSE,975775,1,1175MFL26,1175MFL26,F,0.01,
BSE,975774,1,0ICLFL30A,0ICLFL30A,F,0.01,
BSE,975773,1,0ICLFL27A,0ICLFL27A,F,0.01,
BSE,975772,1,12ICLFL27A,12ICLFL27A,F,0.01,
BSE,975771,1,1025UCL27,1025UCL27,F,0.01,
BSE,975770,1,795CHT44,795CHT44,F,0.01,
BSE,975769,1,741IIFCL39,741IIFCL39,F,0.01,
BSE,975768,100000,13Z042426,13Z042426,F,0.01,
BSE,975767,100000,10Z042426,10Z042426,F,0.01,
BSE,975766,1,1001ACAP25,1001ACAP25,F,0.01,
BSE,975765,1,787IGT27,787IGT27,F,0.01,
BSE,975764,1,744IRED34,744IRED34,F,0.01,
BSE,975763,1,794MBPR31,794MBPR31,F,0.01,
BSE,975762,1,9JMFHL28,9JMFHL28,F,0.01,
BSE,975761,1,GXS210624,GXS210624,F,0.01,
BSE,975760,1,835MRHF29,835MRHF29,F,0.01,
BSE,975759,1,835AFL34,835AFL34,F,0.01,
BSE,975758,1,812KMPL27,812KMPL27,F,0.01,
BSE,975757,100000,942PLM2527,942PLM2527,F,0.01,
BSE,975756,1,91SFL34,91SFL34,F,0.01,
BSE,975755,1,1025AFPL26,1025AFPL26,F,0.01,
BSE,975754,1,957MASFL27,957MASFL27,F,0.01,
BSE,975753,1,990VCL25,990VCL25,F,0.01,
BSE,975752,1,12CVL25,12CVL25,F,0.01,
BSE,975751,1,950OPL26,950OPL26,F,0.01,
BSE,975750,1,1020KSPL25,1020KSPL25,F,0.01,
BSE,975749,1,11IML25,11IML25,F,0.01,
BSE,975748,1,86IPL39,86IPL39,F,0.01,
BSE,975747,1,925SKFLD27,925SKFLD27,F,0.01,
BSE,975746,1,1050NFL27,1050NFL27,F,0.01,
BSE,975745,1,965VFSL26,965VFSL26,F,0.01,
BSE,975744,1,845SEIL29,845SEIL29,F,0.01,
BSE,975743,1,918NACL29,918NACL29,F,0.01,
BSE,975742,1,764NBRD29,764NBRD29,F,0.01,
BSE,975741,1,114KFPL27,114KFPL27,F,0.01,
BSE,975740,1,735RECL34,735RECL34,F,0.01,
BSE,975739,1,990MCSL26,990MCSL26,F,0.01,
BSE,975738,1,744IRFCL34,744IRFCL34,F,0.01,
BSE,975737,1,855HDBFPRP,855HDBFPRP,F,0.01,
BSE,975736,1,125KSPL25A,125KSPL25A,F,0.01,
BSE,975735,1,835KPIL27,835KPIL27,F,0.01,
BSE,975734,1,TRILRE27,TRILRE27,F,0.01,
BSE,975733,1,995AAHL28,995AAHL28,F,0.01,
BSE,975732,1,873ELL27,873ELL27,F,0.01,
BSE,975731,1,873ELL26,873ELL26,F,0.01,
BSE,975730,1,16LEPL27,16LEPL27,F,0.01,
BSE,975729,1,833HDBFS27,833HDBFS27,F,0.01,
BSE,975728,1,0SFL29,0SFL29,F,0.01,
BSE,975727,1,1025SFL29A,1025SFL29A,F,0.01,
BSE,975726,1,1050NBSP25,1050NBSP25,F,0.01,
BSE,975725,1,0SFL27,0SFL27,F,0.01,
BSE,975724,1,950SFL27A,950SFL27A,F,0.01,
BSE,975723,1,818GRIL34,818GRIL34,F,0.01,
BSE,975722,1,1175NCP26,1175NCP26,F,0.01,
BSE,975721,1,IFSL060624,IFSL060624,F,0.01,
BSE,975720,1,135TCFL25,135TCFL25,F,0.01,
BSE,975719,1,855MFSL25,855MFSL25,F,0.01,
BSE,975718,1,16LFL26,16LFL26,F,0.01,
BSE,975717,1,980DMIFP27,980DMIFP27,F,0.01,
BSE,975716,1,867AFLPER,867AFLPER,F,0.01,
BSE,975715,1,75IREDA34,75IREDA34,F,0.01,
BSE,975714,1,12ACAP29,12ACAP29,F,0.01,
BSE,975713,1,119ACAP26,119ACAP26,F,0.01,
BSE,975712,100000,1150CTM26,1150CTM26,F,0.01,
BSE,975711,1,1025NFL25A,1025NFL25A,F,0.01,
BSE,975710,1,819IIL26,819IIL26,F,0.01,
BSE,975709,1,925SKFL26A,925SKFL26A,F,0.01,
BSE,975708,1,0ICLFL30,0ICLFL30,F,0.01,
BSE,975707,1,0ICLFL27,0ICLFL27,F,0.01,
BSE,975706,1,0ICLFL26,0ICLFL26,F,0.01,
BSE,975705,1,0ICLFL25,0ICLFL25,F,0.01,
BSE,975704,1,12ICLFL27,12ICLFL27,F,0.01,
BSE,975703,1,EEL310524,EEL310524,F,0.01,
BSE,975702,1,ECE310524,ECE310524,F,0.01,
BSE,975701,1,818MMFSL29,818MMFSL29,F,0.01,
BSE,975700,1,SFL30524,SFL30524,F,0.01,
BSE,975699,100000,945STM28,945STM28,F,0.01,
BSE,975698,1,1130AFPL29,1130AFPL29,F,0.01,
BSE,975697,1,744PFCL34,744PFCL34,F,0.01,
BSE,975696,1,1306LMP27,1306LMP27,F,0.01,
BSE,975695,1,776TIL34,776TIL34,F,0.01,
BSE,975694,1,0MSFL26A,0MSFL26A,F,0.01,
BSE,975693,1,965HLFL39,965HLFL39,F,0.01,
BSE,975692,1,758RECL29,758RECL29,F,0.01,
BSE,975691,1,770RECL26,770RECL26,F,0.01,
BSE,975690,1,950HLFL29,950HLFL29,F,0.01,
BSE,975689,1,DKGF240524,DKGF240524,F,0.01,
BSE,975688,1,DKGF240527,DKGF240527,F,0.01,
BSE,975687,1,1275DKGF27,1275DKGF27,F,0.01,
BSE,975686,1,12NCPL26,12NCPL26,F,0.01,
BSE,975685,1,1050HFL26,1050HFL26,F,0.01,
BSE,975684,1,11HFL29,11HFL29,F,0.01,
BSE,975683,1,11MFL25,11MFL25,F,0.01,
BSE,975682,1,12ACAPL25,12ACAPL25,F,0.01,
BSE,975681,1,1053SCNL29,1053SCNL29,F,0.01,
BSE,975680,1,815AFL29,815AFL29,F,0.01,
BSE,975679,1,950IFSL26,950IFSL26,F,0.01,
BSE,975678,1,1195NFL25,1195NFL25,F,0.01,
BSE,975677,1,11NFL26,11NFL26,F,0.01,
BSE,975676,1,920SFL29,920SFL29,F,0.01,
BSE,975675,1,920SFL26A,920SFL26A,F,0.01,
BSE,975674,1,890NMI0529,890NMI0529,F,0.01,
BSE,975673,1,NAOMI29,NAOMI29,F,0.01,
BSE,975672,1,12PFSP27,12PFSP27,F,0.01,
BSE,975671,1,1150MFL26,1150MFL26,F,0.01,
BSE,975670,1,81BFL26,81BFL26,F,0.01,
BSE,975669,1,11ESPL25,11ESPL25,F,0.01,
BSE,975668,1,1320KCPL27,1320KCPL27,F,0.01,
BSE,975667,1,8ERCSL26,8ERCSL26,F,0.01,
BSE,975666,1,940IHFPL26,940IHFPL26,F,0.01,
BSE,975665,1,1160NCPL25,1160NCPL25,F,0.01,
BSE,975664,1,748HUD29,748HUD29,F,0.01,
BSE,975663,1,1050AFPL26,1050AFPL26,F,0.01,
BSE,975662,1,10MCSL27A,10MCSL27A,F,0.01,
BSE,975661,1,806BFL29A,806BFL29A,F,0.01,
BSE,975660,1,1005MFL28,1005MFL28,F,0.01,
BSE,975659,1,995AHL29,995AHL29,F,0.01,
BSE,975658,1,1150SFSP25,1150SFSP25,F,0.01,
BSE,975657,1,8245IIL26,8245IIL26,F,0.01,
BSE,975656,1,9SFL27,9SFL27,F,0.01,
BSE,975655,1,753RECL34,753RECL34,F,0.01,
BSE,975654,1,796MBP29,796MBP29,F,0.01,
BSE,975653,1,1140KFP26,1140KFP26,F,0.01,
BSE,975652,1,1076LFL26,1076LFL26,F,0.01,
BSE,975651,1,807IHFCL26,807IHFCL26,F,0.01,
BSE,975650,1,834HDB27,834HDB27,F,0.01,
BSE,975649,1,925SKFL27,925SKFL27,F,0.01,
BSE,975648,1,771NEEPC34,771NEEPC34,F,0.01,
BSE,975647,1,810BHFL27,810BHFL27,F,0.01,
BSE,975646,1,805BHFL29,805BHFL29,F,0.01,
